TRACE 2012-03-27 18:24:06,254 [main] - Debug log message at: 1332865446253 should not be logged in logfile: log/harmony.debug.log
INFO  2012-03-27 18:24:06,258 [main] - Info log message at: 1332865446258
DEBUG 2012-03-27 18:24:06,259 [main] - Info log message at: 1332865446258 should not be logged in logfile: log/harmony.info.log
WARN  2012-03-27 18:24:06,263 [main] - Warn log message at: 1332865446262
DEBUG 2012-03-27 18:24:06,263 [main] - Warn log message at: 1332865446262 should not be logged in logfile: log/harmony.warn.log
FATAL 2012-03-27 18:24:06,267 [main] - Fatal log message at: 1332865446266
DEBUG 2012-03-27 18:24:06,267 [main] - Fatal log message at: 1332865446266 should not be logged in logfile: log/harmony.fatal.log
TRACE 2012-03-27 18:24:06,283 [main] - logTrace
DEBUG 2012-03-27 18:24:06,283 [main] - logDebug
INFO  2012-03-27 18:24:06,283 [main] - logInfo
WARN  2012-03-27 18:24:06,283 [main] - logWarn
ERROR 2012-03-27 18:24:06,283 [main] - logError
FATAL 2012-03-27 18:24:06,283 [main] - logFatal
ERROR 2012-03-27 18:36:58,721 [main] - Error log message at: 1332866218720
DEBUG 2012-03-27 18:36:58,724 [main] - Error log message at: 1332866218720 should not be logged in logfile: log/harmony.error.log
TRACE 2012-03-27 18:36:58,729 [main] - Trace log message at: 1332866218729
DEBUG 2012-03-27 18:36:58,733 [main] - Debug log message at: 1332866218733
TRACE 2012-03-27 18:36:58,735 [main] - Debug log message at: 1332866218733 should not be logged in logfile: log/harmony.debug.log
INFO  2012-03-27 18:36:58,739 [main] - Info log message at: 1332866218738
DEBUG 2012-03-27 18:36:58,740 [main] - Info log message at: 1332866218738 should not be logged in logfile: log/harmony.info.log
WARN  2012-03-27 18:36:58,745 [main] - Warn log message at: 1332866218745
DEBUG 2012-03-27 18:36:58,746 [main] - Warn log message at: 1332866218745 should not be logged in logfile: log/harmony.warn.log
FATAL 2012-03-27 18:36:58,749 [main] - Fatal log message at: 1332866218749
DEBUG 2012-03-27 18:36:58,750 [main] - Fatal log message at: 1332866218749 should not be logged in logfile: log/harmony.fatal.log
TRACE 2012-03-27 18:36:58,769 [main] - logTrace
DEBUG 2012-03-27 18:36:58,769 [main] - logDebug
INFO  2012-03-27 18:36:58,769 [main] - logInfo
WARN  2012-03-27 18:36:58,769 [main] - logWarn
ERROR 2012-03-27 18:36:58,769 [main] - logError
FATAL 2012-03-27 18:36:58,769 [main] - logFatal
ERROR 2012-03-27 18:37:04,693 [main] - Error log message at: 1332866224693
DEBUG 2012-03-27 18:37:04,696 [main] - Error log message at: 1332866224693 should not be logged in logfile: log/harmony.error.log
TRACE 2012-03-27 18:37:04,702 [main] - Trace log message at: 1332866224702
DEBUG 2012-03-27 18:37:04,706 [main] - Debug log message at: 1332866224706
TRACE 2012-03-27 18:37:04,708 [main] - Debug log message at: 1332866224706 should not be logged in logfile: log/harmony.debug.log
INFO  2012-03-27 18:37:04,714 [main] - Info log message at: 1332866224714
